ranking,name,logo,nativePaymentAsset,floorPrice,numOwners,totalSupply,sevenDayChange,sevenDayVolume,oneDayChange,oneDayVolume,thirtyDayChange,totalVolume
28,METABUMZ-OFFICIAL,https://lh3.googleusercontent.com/C0kjT4M9Iac_N2hFjOXqFb8fWWnnPH7FFHS5Wu31kg9r2hsbX21RB_TQIWnoEIZavQyrfMxKZZ-9eNMVdwzj-LUTbkNGToBHainDPwc=s120,KLAY,315,2726,3829,0,469685.512908353,0.535492995689656,11307.4856000195,0,469685.512908353
29,CyberTHUG Genesis Club,https://lh3.googleusercontent.com/sXujk_OwVceWGVFVDaw19nS9l73JxKbxPht2i0LKSyV2FlPv4YbBqUNj7M-6kONGxyySyP-UW34gKyZGEzkdvqNXmieOW7wLEl-HNA=s120,KLAY,200,1031,10000,0.100210329516243,23348.9980734997,-0.540076824583867,1781.50306045309,1.15251008667311,651840.451549442
30,DSC | DIGITAL IDENTITY,https://lh3.googleusercontent.com/GFwdjFVKsdzLH_4l4yb2wriUTpxP13-SfxxCL1zFX-xd2PrsYtjM3ZSsoI_iRBzBeA_0AV-hq3b4M81iuQ5SOzobf92SYViuHDIh=s120,KLAY,474,1761,10000,-0.215045069176517,31684.3404198308,-0.325734863693926,4665.03835930451,-0.373964911349263,9997552.61164941
31,ElectroPixelKongz,https://lh3.googleusercontent.com/Bi3eu_8BQTBLS53GdrX1K1iFHkAvUxoLQXy_70gmcVK_ksKUyXYFHbfYjszACTiGwYOYvBaBf3nbdbTr-PSAUcaD5obG9d6lIi4eFA=s120,KLAY,85,1806,9917,0.226281924615916,19698.6030775233,-0.557601800695723,2144.54878435389,0.322368865075274,1921761.28129347
32,BomulPlanet Season One,https://lh3.googleusercontent.com/ZktcTx7XSxAE9eFJ0Oe5qG2psnMjXS8CMoOSZoQ6YG2RnYaD2IbmB_Go03WHDqf9ZflBcOU_4BZ4egCQ711cjtv-LIezdFbhBYZr1Q=s120,KLAY,4150,388,5111,-0.317174081612872,79855.9082880972,3.96772727272727,22524.821713366,0,359472.643837574
33,KLAY APE KIDS,https://lh3.googleusercontent.com/GP4bQFKJkWBIiSQ6-fH-OdyFydEo2C6TmSLQ5cRfXP5Cp-Zs-6kAY3Nx5qiIMo6DbvjcCXK3TxSw0UTdgOiSljnFv3wRl5AFn6cmlg=s120,KLAY,211,927,6143,0.485364583857618,76111.3125715512,-0.717980456026059,4294.05720974468,8.42704984718591,392221.84549276
34,Kenome,https://lh3.googleusercontent.com/QdlaOCxgp2rN3BMEhqwot8B7JgptVv03NGs1TcNorHYVe0ASUO0dCCc_AIJ2-z2VSTwV2tuZeGOx0U82Lo04QV1YbGuT-pmpe4PFRec=s120,KLAY,280,225,10418,0.549168245946515,51499,0.807958784864097,20354,-0.133350470674042,948433.60010011
35,KlayLand,https://lh3.googleusercontent.com/w65psh491f1IQDO2RNr8eo_R4NJrT8m8T70xwLaYkFen_Nro-OM37o2eK3MO5ztOwqUnpJ-y6MtMmtCESfPMT4QyLr-Lnrc_V-Au=s120,KLAY,57,2055,6759,-0.618708173921713,15174.5177164874,-0.643273150844496,1215.11205403955,-0.624867447147569,1141553.16111275
36,Ecoverse Studio,https://lh3.googleusercontent.com/GBAf0CKgsLabE8bxSWpLS0zqBM019lTYVKdxlMMLWLK9fOy7T_Xp-Z_yddItbJ9Empw6iUC6n-ddGtdZh9bIY75YYSpLmrachJfDjA=s120,KLAY,1050,341,1465,-0.344670369982182,12404.0622332772,-0.562222222222222,977.049284268539,4.81811673977934,382181.209334992
37,Klaypad Key,https://lh3.googleusercontent.com/GE2R1e0aZXlItNS5ZO3jhwOqylrfXmQhHlhP_CCbnkjTYsrjm4rZYk48xCjFwHQXAf_01b8SXCSnvBE7J6-84NEMYQ8BtC6X8iiD=s120,KLAY,204.99,513,3549,-0.348894218133591,119638.829,0.106454845155849,25309.369,0,303385.974751114
